SKU ID,VendorProduct_ID,UnitMeasurementBuy,LotSizeBuy,Current_Buy,UnitMeasurementSell,LotSizeSell,Current_Sell,Specs_JSON,Threshold
147,15,1,10,3,1,1,,"{""spec1"":""Light"",""spec2"":""16mm"",""spec3"" : ""Lateral Cock""}",34
148,15,1,10,4.5,1,1,,"{""spec1"":""Heavy"",""spec2"":""16mm"",""spec3"" : ""Lateral Cock""}",34
149,15,1,10,7,1,1,,"{""spec1"":""Heavy"",""spec2"":""20mm"", ""spec3"" : ""Lateral Cock""}",25
150,16,1,10,6,1,1,,"{""spec1"":""4kg"",""spec2"":""40mm""}",29
151,16,1,10,5.7,1,1,,"{""spec1"":""3.7kg"",""spec2"":""40mm""}",34
152,16,1,10,5.4,1,1,,"{""spec1"":""3.5kg"",""spec2"":""40mm""}",25
153,16,1,10,110,1,1,,"{""spec1"":""75mm Adopter"",""spec2"":""Pioneer Type"",""spec3"":""32mm""}",40
154,16,1,10,110,1,1,,"{""spec1"":""75mm Adopter"",""spec2"":""Pioneer Type"",""spec3"":""40mm""}",35
155,16,1,10,120,1,1,,"{""spec1"":""75mm Adopter"",""spec2"":""C Type"",""spec3"":""32mm""}",29
156,16,1,10,120,1,1,,"{""spec1"":""75mm Adopter"",""spec2"":""C Type"",""spec3"":""40mm""}",34
